Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,OBJECTID,Recovered
60,Canada,0,1583643182000,53.868409,-101.015459,1,8
1,Lithuania,0,1582906983000,55.1694,23.8813,2,0
2,Cambodia,0,1583643183000,11.55,104.916667,3,1
22,Palestine,0,1583547786000,31.9522,35.2332,4,0
9,Argentina,1,1583625797000,-38.4161,-63.6167,5,0
2,Cameroon,0,1583644983000,3.848,11.5021,6,0
85,Bahrain,0,1583604806000,26.0275,50.55,7,4
7,Saudi Arabia,0,1583644983000,24,45,8,0
12,Slovenia,0,1583644983000,46.1512,14.9955,9,0
3,Bosnia and Herzegovina,0,1583547189000,43.9159,17.6791,10,0
696,Others,6,1583458179000,35.4437,139.638,11,40
800,Germany,0,1583637193000,51,9,12,18
3,Saint Barthelemy,0,1583289783000,17.9,-62.8333,13,0
525,Spain,10,1583637193000,40,-4,14,30
2,Maldives,0,1583644983000,3.2028,73.2207,15,0
16,Oman,0,1583430782000,21,57,16,2
3,North Macedonia,0,1583526191000,41.6086,21.7453,17,0
5,French Guiana,0,1583551385000,3.9339,-53.1258,18,0
1,Monaco,0,1582936381000,43.7333,7.4167,19,0
5,New Zealand,0,1583546609000,-40.9006,174.886,20,0
6,Pakistan,0,1583643182000,30.3753,69.3451,21,1
10,Macau,0,1583490183000,22.166667,113.55,22,10
45,United Arab Emirates,0,1583576002000,24,54,23,7
34,India,0,1583604807000,21,78,24,3
9,Azerbaijan,0,1583547189000,40.1431,47.5769,25,0
7134,South Korea,50,1583636588000,36,128,26,118
4,Afghanistan,0,1583643183000,33,65,27,0
26,Czech Republic,0,1583644386000,49.8175,15.473,28,0
26,San Marino,1,1583644386000,43.9424,12.4578,29,0
949,France,11,1583613182000,47,2,30,12
3,Slovakia,0,1583644983000,48.669,19.699,31,0
6,Peru,0,1583644983000,-9.19,-75.0152,32,0
156,Norway,0,1583637193000,60.472,8.4689,33,0
138,Singapore,0,1583603583000,1.283333,103.833333,34,78
1,Togo,0,1583547189000,8.6195,0.8248,35,0
1,Armenia,0,1583092382000,40.0691,45.0382,36,0
2,Dominican Republic,0,1583508783000,18.7357,-70.1627,37,0
1,Ukraine,0,1583249582000,48.3794,31.1656,38,0
19,Finland,0,1583644983000,64,26,39,1
4,Indonesia,0,1583497983000,-0.7893,113.9213,40,0
161,Sweden,0,1583603583000,63,16,41,0
76,Australia,4,1583641982000,-25,133,42,21
1,Vatican City,0,1583509382000,41.9029,12.4534,43,0
15,Russia,0,1583644983000,60,90,44,3
13,Romania,0,1583644983000,46,25,45,3
20,Portugal,0,1583605982000,39.3999,-8.2245,46,0
2,South Africa,0,1583644983000,-30.5595,22.9375,47,0
1,Liechtenstein,0,1583285587000,47.14,9.55,48,0
433,US,17,1583637786000,40,-100,49,8
93,Malaysia,0,1583603583000,2.5,112.5,50,23
81,Austria,0,1583637193000,47.5162,14.5501,51,0
21,Vietnam,0,1583641982000,16,108,52,16
209,UK,2,1583637193000,55,-3,53,18
461,Japan,6,1583602985000,36,138,54,76
19,Brazil,0,1583644386000,-14.235,-51.9253,55,0
2,Faroe Islands,0,1583644387000,61.8926,-6.9118,56,0
